id,name,time,other names,类型
A670,我的青春恋爱物语果然有问题,['2013年4月4日'],['果然我的青春恋爱喜剧搞错了。'],"['校园', '恋爱', '后宫', '青春', '日常', '搞笑']"
A671,少年正义联盟 第一季,['2011-01-07'],none,"['科幻', '热血', '动作', '奇幻', '战斗']"
A672,On Your Mark,none,['オン・ユア・マーク'],"['科幻', '治愈', '奇幻']"
A673,Little Busters! 〜Refrain〜,['2013年10月5日'],['Little Busters! ～Refrain～'],"['催泪', '校园', '治愈', '友情', '恋爱', '青春', '搞笑']"
A674,探险活宝 第二季,['2010年10月11日'],['探險活寶'],"['搞笑', '奇幻', '动作']"
A675,血界战线 &amp; BEYOND,['2017年10月7日'],none,"['奇幻', '战斗', '热血', '搞笑', '日常']"
A676,第六届东方M-1漫才大赛,none,none,"['搞笑', '奇幻']"
A677,甜甜私房猫,['2008年3月31日'],['起司猫'],"['萌', '治愈', '日常', '搞笑']"
A678,宇宙战舰大和号2199 第一章「踏上遥远的征途」,none,['宇宙战舰大和号2199 第一章'],['科幻']
A679,巴加的工作室 ～巴加眼中的海洋～,none,['巴加的工作室 ～巴加看见的海～'],"['治愈', '奇幻', '萌']"
A680,逮捕令,['1996年10月5日'],['皇家雙妹嘜'],"['搞笑', '日常', '百合']"
A681,宇宙巡警露露子,['2016年4月1日'],['Uchuu Patrol Luluco'],"['搞笑', '恋爱', '科幻', '战斗']"
A682,幻想万华镜 华鸟风月,none,none,['百合']
A683,地球防卫少年,['2007年4月8日'],['地球便当少年'],"['催泪', '科幻', '致郁', '机战']"
A684,艾特熊和赛娜鼠,none,['Ernest &amp; Celestine'],"['治愈', '友情']"
A685,红白黑黄 第二季,['2014年7月24日'],['RWBY'],"['战斗', '百合', '3D', '热血', '奇幻', '动作']"
A686,花开伊吕波,['2011年4月3日'],['花开物语'],"['治愈', '励志', '青春', '日常', '恋爱', '百合']"
A687,萤火之森,none,none,"['治愈', '催泪', '恋爱', '爱情']"
A688,壳中少女 燃烧,none,['Mardock Scramble The Second Combustion'],"['科幻', '治愈', '战斗']"
A689,哆啦A梦：新大雄与铁人兵团,none,['电影多啦A梦-新·大雄与铁人兵团'],"['科幻', '搞笑', '治愈']"
A690,无敌破坏王,none,['破坏王拉尔夫'],"['搞笑', '治愈', '3D', '冒险', '奇幻']"
A691,第一神拳 Rising,['2013年10月5日'],['第一神拳 第三季'],"['热血', '搞笑']"
A692,宇宙战舰大和号2199 第二章「死战太阳系」,none,['宇宙战舰大和号2199 第二章'],['科幻']
A693,南方公园 第7季,['2003-03-19'],none,['搞笑']
A694,向阳素描×SP,none,none,"['治愈', '百合', '日常', '萌', '校园']"
A695,歌牌情缘3,['2019年10月22日'],['歌牌情缘 第三季'],"['青春', '热血', '运动', '恋爱', '治愈', '校园']"
A696,马男波杰克5,['2018年9月14日'],none,['致郁']
A697,钻石王牌,['2013年10月6日'],['Ace of Diamond'],"['热血', '运动', '校园']"
